step,session_step,wins,stage,stage_kill,stage_boss_kill,boss_damage,boss_real_damage,avg_reward,best_avg_reward,reward,window_reward,death_resets,boss_stall_resets,last_terminal_reason,progress,best_progress,boss_hp_pct,sps,epsilon,loss,replay_size,updates,episode,elapsed_sec,device,player_hp,player_full_hp,accuracy,window_accuracy,hit_power,hurt_power,shot_power,window_hit_power,window_hurt_power,window_shot_power,action,action_label,boss_alive_frames,boss_no_hit_frames,boss_low_hp_no_hit_frames,boss_time_penalty,total_boss_time_penalty
109000,109000,0,4,0,0,50,50,1228.5571703303638,1335.5703332663625,1063.532,1228557.1703303638,859,0,hit_death,4.0/0,4.0/0,0.9765,23.777020052155542,0.03,759.0632527202775,2016,77245,859,4005.327074766159,cuda,100,100,0.7720473530595813,0.8482632541133455,1841055.0,4590.0,2384640.0,18560.0,35.0,21880.0,0,left-up,44,0,0,-0.088,-17834.31600000093
110000,110000,0,4,0,0,0,0,1378.8706109103305,1378.8706109103305,-0.74,1378870.6109103304,862,0,hit_death,4.0/0,4.0/0,0.7373333333333333,21.55716888870585,0.03,704.8519986531576,3019,77495,862,4051.7163553237915,cuda,100,100,0.7730037896416462,0.8770529197080292,1860280.0,4605.0,2406560.0,19225.0,15.0,21920.0,3,right,370,1,0,-0.74,-18127.992000000948
111000,111000,0,4,0,0,40,40,1268.5655388154605,1378.8706109103305,1497.3953333333334,1268565.5388154604,868,0,hit_death,4.0/0,4.0/0,0.878,22.873195407600303,0.03,770.9536950736784,4025,77745,868,4095.471657514572,cuda,100,100,0.7737704040453954,0.8580895795246801,1879055.0,4635.0,2428440.0,18775.0,30.0,21880.0,0,left-up,169,0,0,-0.338,-18327.34600000096
112000,112000,0,4,0,0,50,50,1151.5221485699312,1378.8706109103305,372.5586666666667,1151522.1485699313,876,0,hit_death,4.0/0,4.0/0,0.89,25.0114733457575,0.03,764.0104151918184,5033,77995,876,4135.453308582306,cuda,100,100,0.7741890722692917,0.8207417582417582,1896980.0,4675.0,2450280.0,17925.0,40.0,21840.0,5,down,154,0,0,-0.308,-18471.69400000099
113000,113000,0,4,0,0,30,30,1036.8847431196634,1378.8706109103305,1783.584,1036884.7431196634,883,0,hit_death,4.0/0,4.0/0,0.9665,23.649698138614966,0.03,855.5132769780598,6040,78245,883,4177.7371463775635,cuda,100,100,0.7737646430651738,0.7262340036563071,1912870.0,4715.0,2472160.0,15890.0,40.0,21880.0,5,down,58,0,0,-0.116,-18740.89200000103
114000,114000,0,4,0,0,10,10,1134.7149152558334,1378.8706109103305,351.364,1134714.9152558334,891,0,hit_death,4.0/0,4.0/0,0.9986666666666667,24.71088023738353,0.03,793.5939392413945,7048,78495,891,4218.2051503658295,cuda,100,100,0.7740409289196818,0.8052007299270073,1930520.0,4755.0,2494080.0,17650.0,40.0,21920.0,5,down,18,0,0,-0.036000000000000004,-18887.998000001062
115000,115000,0,4,0,0,10,10,1107.4737715939575,1378.8706109103305,1414.0633333333333,1107473.7715939574,899,0,hit_death,4.0/0,4.0/0,0.9835,26.603070696608256,0.03,752.6259740946092,1007,77713,899,4255.90630030632,cuda,100,100,0.7741971383147854,0.791970802919708,1947880.0,4795.0,2516000.0,17360.0,40.0,21920.0,4,right-down,35,0,0,-0.07,-19026.658000001094
116000,116000,0,4,0,0,10,10,1246.8517472293206,1378.8706109103305,1086.9,1246851.7472293207,905,0,hit_death,4.0/0,4.0/0,0.9398333333333333,23.90401236526372,0.03,726.1096663177891,2013,77963,905,4297.741281032562,cuda,100,100,0.7748526375514192,0.8499544626593807,1966545.0,4830.0,2537960.0,18665.0,35.0,21960.0,8,stay,100,0,0,-0.2,-19194.646000001132
117000,117000,0,4,0,0,20,20,1265.8882272692592,1378.8706109103305,714.1506666666667,1265888.2272692593,910,0,hit_death,4.0/0,4.0/0,0.9666666666666667,22.162051090033653,0.03,803.2286804955346,3018,78213,910,4342.864461183548,cuda,100,100,0.7754273704606538,0.8420932358318098,1984970.0,4860.0,2559840.0,18425.0,30.0,21880.0,6,left-down,58,0,0,-0.116,-19459.492000001163
118000,118000,0,4,0,0,20,20,1105.3302867009465,1378.8706109103305,1057.542,1105330.2867009465,918,0,hit_death,4.0/0,4.0/0,0.9886666666666667,25.08608211818845,0.03,822.2148091322334,4026,78463,918,4382.728202342987,cuda,100,100,0.7755473180254718,0.7896062271062271,2002215.0,4900.0,2581680.0,17245.0,40.0,21840.0,5,down,29,0,0,-0.058,-19618.40200000118
